Nombre;Dirección;Municipio;Código Postal;Teléfono
TAULE MARTI,JORDI/MARTI GARCIA,CRISTINA/MARTI GARCIA,;CARRETERALAUREA MIRO              177;SANT FELIU DE LLOBREGAT   ;08980          ;936661095      
CALM NOGUES, JORDI/CALM NOGUES,ROSALIA               ;CARRER   SANTA CREU               16;SANT FELIU DE LLOBREGAT   ;08980          ;936662912      
SANCHEZ SOLER, BENJAMIN/SANCHEZ SOLER, AUGUSTO       ;AVINGUDA SANTA MARIA              2;VILASSAR DE DALT          ;08339          ;937530801      
BRASO SERRA, JOSEFA                                  ;CARRER   MESTRA VILADROSA         16;VILASSAR DE DALT          ;08339          ;937530803      
MIRABENT SALA, ANNA                                  ;CARRER   BATLLE SERRALLONGA       8-10;SANT HIPOLIT DE VOLTREGA  ;08512          ;938570080      
PAGES PUJOL, MONTSERRAT                              ;CARRER   BALTASAR D'ESPANYA       18-20;SANT JOAN DESPI           ;08970          ;933730201      
BASTE BARBERAN, MARTA/COMAS BASTE, ORIOL             ;CARRER   SANT JOSEP               85;VILASSAR DE MAR           ;08340          ;937590941      
JOVER- SANTI�A,D/JOVER-SANTI�A,P                     ;CARRER   MONTSERRAT               1;VILASSAR DE MAR           ;08340          ;937590939      
ARDERIU SOLSONA, MANOLITA                            ;CARRER   BONAVISTA                61;SANT JUST DESVERN         ;08960          ;933711288      
CAUSIN TORRES, AURORA                                ;CARRER   MANZANILLO               16;SANT POL DE MAR           ;08595          ;937600508      
PAGANS GOMEZ, JOAN J                                 ;AVINGUDA CATALUNYA                66;SANT LLOREN� SAVALL       ;08212          ;937140021      
HERNANDEZ MASSANA, RAFEL                             ;CARRER   PONENT                   16;SUBIRATS                  ;08739          ;938993003      
MIRET MESTRE, MA.JOSEP/MA.TERESA                     ;PLA�A    MARCER                   1;SANT PERE DE RIBES        ;08810          ;938963579      
BONFILL PLANAS, CLARA                                ;CARRER   MONTSERRAT               56-58 LOCAL 2;SANT PERE DE RIUDEBITLLES ;08776          ;938995276      
CERRILLO ALBAIGES, NURIA                             ;AVINGUDA MONTSERRAT               65;SANT QUINTI DE MEDIONA    ;08777          ;938998229      
BESORA MOLINS,AGATA / BESORA MOLINS,ERIC             ;CARRER   PONT                     45;SANT QUIRZE DE BESORA     ;08580          ;938550044      
NARANJO SALOM, ELISABET                              ;CARRER   DOCTOR ESCAYOLA          4;SANT SADURNI D'ANOIA      ;08770          ;938910188      
MESTRE CLIMENT, RAQUEL                               ;CARRER   HOSPITAL                 2;SANT SADURNI D'ANOIA      ;08770          ;938912611      
FIGULS GRAUVILARDELL, ESTRELLA                       ;PLA�A     AJUNTAMENT              7;SANT VICEN� DE CASTELLET  ;08295          ;938331405      
GIMFERRER RIPOLL, M.ROSA                             ;CARRER   GRAN                     34;SANT VICEN� DE CASTELLET  ;08295          ;938330255      
TABAR PRATS, MARIA                                   ;CARRER   BARCELONA                64;SANT VICEN� DELS HORTS    ;08620          ;936560156      
RIFA PI�OL, MARGARIDA                                ;PLA�A    CASTELL                  7-8;SANT VICEN� DE TORELLO    ;08571          ;938591216      
TURA LLADO, JAUME                                    ;AVINGUDA SANTA COLOMA             1-3;SANTA COLOMA DE CERVELLO  ;08830          ;936613343      
GARCIA LARA, ISABEL                                  ;PLA�A    DE LA VILA               3;SANTA COLOMA DE GRAMENET  ;08922          ;933860155      
PALACIOS SERRANO, FERRAN                             ;CARRER   MAJOR                    46;SANTA COLOMA DE GRAMENET  ;08921          ;933868344      
