Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
67766;F08009645;MORENO LOPEZ, ANGEL M.;TERRASSA;DE MONTCADA;8223;CARRETERA;402;937859295;TERRASSA-G
67767;F08009652;NADAL GRAU, MARTA;BARCELONA;SANT ALEXANDRE;8031;CARRER;37;932293031;BARCELONA 7-D
67768;F08009660;PUJOL BOTER, M.TERESA;BARCELONA;FONT D'EN CANYELLES;8031;CARRER;71;933547039;BARCELONA 8-E
67769;F08009677;SAPIÑA PEDROL,VICTOR;BARCELONA;CADI;8031;CARRER;23;932294995;BARCELONA 8-C
67770;F08009684;BLANC MELIA,BEGOÑA/PRATS GORROCHATEGUI,DARIO;BARCELONA;PABLO IGLESIAS;8016;CARRER;48-50;933592890;BARCELONA 8-D
67771;F08009691;DOÑATE PALOS, OSCAR;BARCELONA;VINYALS;8041;CARRER;38;932564675;BARCELONA 7-G
67772;F08009701;ESCUDE GRAU, MA ROSA I MERCE;TERRASSA;MARTORELL;8224;CARRETERA;16;937882188;TERRASSA-E
67773;F08009719;PI CULLELL,ANNA;TERRASSA;MOSSEN ANGEL RODAMILANS;8222;CARRER;155;937853642;TERRASSA-A
67774;F08009726;PARES CASALA, MARTA;BARCELONA;MARE DE DEU DEL COLL;8023;CARRER;25;932175890;BARCELONA 6-D
67775;F08009733;CARRERAS ARBAT, M GLORIA;LLAGOSTA LA;ANTONI BAQUE;8120;PLAÇA;3;935602704;LLAGOSTA,LA
67776;F08009740;PALA VILARRASA, MIRIAM;TERRASSA;PARE LLAURADO;8224;CARRER;73;937880088;TERRASSA-E
67777;F08009758;MONASTERIO SANCHEZ, ANTONI;HOSPITALET DE LLOBREGAT L';COVADONGA;8906;CARRER;43;932401262;HOSPITALET DE LLOBREGAT 9-PUBILLA CASES
67778;F08009765;BELTRAN CAPAFONS, ANA MAR;HOSPITALET DE LLOBREGAT L';LLANÇA;8904;CARRER;33-35;934496022;HOSPITALET DE LLOBREGAT 3
67779;F08009772;PAU ROBIRO, NURIA;TERRASSA;CASTELLAR;8222;CARRETERA;110;937859948;TERRASSA-A
67780;F08009780;ROQUET FERNANDEZ ARAMBURU,C.;HOSPITALET DE LLOBREGAT L';RENCLUSA;8905;CARRER;82;932492929;HOSPITALET DE LLOBREGAT 8
67781;F08009797;GARRIGA MAJO, MARTA;SABADELL;SALLARES i PLA;8202;CARRER;140;937259757;SABADELL 1-A
67782;F08009807;MONTANE BOMBARDO, GLORIA;SABADELL;BARCELONA;8201;CARRETERA;219;937260539;SABADELL 1-A
67783;F08009814;DIAZ NAVARRO, MONICA;BARCELONA;QUARTER DE SIMANCAS;8042;CARRER;24;933547427;BARCELONA 8-G
67784;F08009821;VEHI GASOL, ENRIQUE LUIS;BARCELONA;ANETO;8031;CARRER;26-28;934291595;BARCELONA 8-C
67785;F08009839;JIMENEZ ANDREU, GERMAN;BARCELONA;FONERIA;8038;CARRER;18;933322647;BARCELONA 3-H
67786;F08009846;MELCHOR PEIRATS, CARLES;HOSPITALET DE LLOBREGAT L';LLEVANT;8905;CARRER;47-49;933490864;HOSPITALET DE LLOBREGAT 7
67787;F08009853;PRAT CALVET, JOSEP;BARCELONA;LLIVIA (TDA-1);8041;PASSATGE;47;932355093;BARCELONA 7-G
67788;F08009860;PARES LUCINI, JOAN;HOSPITALET DE LLOBREGAT L';MASNOU;8905;AVINGUDA;62;934405966;HOSPITALET DE LLOBREGAT 8
67789;F08009878;TERUEL LORCA, ANNA MA.;HOSPITALET DE LLOBREGAT L';IGUALTAT;8902;CARRER;10;933354890;HOSPITALET DE LLOBREGAT 6
67790;F08009885;MONGUIO SOLIVA, TERESA;BADALONA;SANT JOAN;8916;RAMBLA;180;933873893;BADALONA 10
67791;F08009892;BARBERA FAURA, ANNA;SANT QUIRZE DEL VALLES;PAU CASALS;8192;AVINGUDA;38;937210699;SANT QUIRZE DEL VALLES
67792;F08009902;PUIGDOLLERS VILA, CRISTINA;AMETLLA DEL VALLES;POMPEU FABRA;8480;CARRER;26;938430146;GARRIGA,LA*
67793;F08009910;OLIUS MAS, JORDI;BARCELONA;LLOBREGOS;8032;CARRER;140;932294714;BARCELONA 7-D
67794;F08009927;GUERRERO ANARTE, IGNASI;TERRASSA;ABAD MARCET;8225;AVINGUDA;241;937882901;TERRASSA-E
67795;F08009941;CHACON PUIG, ANA CRISTINA;BARCELONA;LAS CHAFARINAS;8033;CARRER;des-14;933505696;BARCELONA 8-I
67796;F08009959;PUJADAS GIL, MA. CLARA;BADALONA;LONDRES;8914;CARRER;BLOC-1 T 2;933882482;BADALONA 7-A (ST.JOAN LLEFIA)
